"number","title","pageid","namespace","length","touched"
"1","1001_Gaussia","4868004","","18662","20190219214839"
"2","13223_Cenaceneri","16427543","","373","20190121233745"
"3","1332_Marconia","16467889","","17854","20190219220157"
"4","1548_capture_of_Aden","24856984","","3179","20190203044929"
"5","1691_Oort","16476068","","13388","20190219220157"
"6","1776_(film)","11600033","","37430","20190224215458"
"7","1776_(musical)","161607","","49823","20190224215257"
"8","1855_Korolev","16454099","","10476","20190219220156"
"9","2001_Einstein","1029946","","21192","20190219214012"
"10","2244_Tesla","9346402","","7758","20190219215402"
"11","24711_Chamisso","16427639","","375","20190121235320"
"12","2473_Heyerdahl","635726","","347","20190221103734"
"13","24748_Nernst","16471194","","396","20190121235320"
"14","257-gon","5024265","","6250","20190227032605"
"15","2709_Sagan","634823","","12005","20190219213854"
"16","2GB","948955","","13269","20190224224607"
"17","3047_Goethe","16442280","","8666","20190219220156"
"18","30852_Debye","16428633","","404","20190121235914"
"19","5006_Teller","16633649","","360","20190121225426"
"20","5148_Giordano","16442107","","14570","20190219213851"
"21","65537-gon","5024281","","4997","20190227032605"
"22","775_Lumière","3033471","","2140","20190219214534"
"23","8525_Nielsabel","16471371","","364","20190210120350"
"24","A.J.'s_Time_Travelers","51003558","","6516","20190206054720"
"25","A.S._Lane","43992850","","2161","20190222045830"
"26","A._Aiyappan","13229445","","5105","20190219215813"
"27","A._D._Gardner","4286383","","4037","20190219214756"
"28","A._E._V._Richardson","48559185","","11447","20190203061631"
"29","A._G._Mearns","55132103","","2439","20190203062902"
"30","A._Ian_Scott","58843287","","4370","20190222045834"
"31","A._M._Mubarak","31520927","","3348","20190224215716"
"32","A._Michael_Noll","5969169","","10524","20190213233437"
"33","A._Ray_Olpin","22238842","","4495","20190225024109"
"34","A._Richard_Newton","8774659","","10793","20190219215323"
"35","A._S._Neill","554691","","35607","20190224224603"
"36","A._Sivathanu_Pillai","26258696","","21385","20190219221150"
"37","A._V._Rama_Rao","47993806","","25552","20190226233628"
"38","ASME_Leonardo_Da_Vinci_Award","58709102","","3470","20190226234852"
"39","A_Dangerous_Method","28075240","","23372","20190226234523"
"40","A_Mathematical_Theory_of_Communication","828061","","4103","20190214023852"
"41","A_More_Perfect_Union_(film)","24424839","","5451","20190222220030"
"42","A_New_World:_A_Life_of_Thomas_Paine","24363360","","2296","20190119114932"
"43","A_Symbolic_Analysis_of_Relay_and_Switching_Circuits","2324576","","3230","20190203014449"
"44","A_Tale_of_Time_City","2611550","","9748","20190226231402"
"45","Aad_van_der_Vaart","46963781","","3650","20190213234045"
"46","Aage_Bohr","2201","","21446","20190224210513"
"47","Aaron_Aaronsohn","1466006","","7745","20190224215323"
"48","Aaron_D._Wyner","14132451","","2959","20190203035733"
"49","Aaron_Klug","758556","","17850","20190226081024"
"50","Aaron_Valero","3616100","","6287","20190219214652"
"51","Ab_Osterhaus","24543981","","9538","20190220235913"
"52","Aban_Marker_Kabraji","17991912","","3430","20190219220315"
"53","Abass_Alavi","14152914","","15958","20190224215516"
"54","Abbas_Edalat","10801964","","9410","20190224215454"
"55","Abbas_El_Gamal","32837727","","9410","20190226225818"
"56","Abbas_Shafiee","5571061","","3261","20190203023205"
"57","Abbas_Wasim_Efendi","40687430","","1419","20190219222358"
"58","Abbas_ibn_Firnas","1579821","","11133","20190225053301"
"59","Abby_Sciuto","2668748","","37030","20190221165912"
"60","Abd_al-Qadir_ibn_Shaqrun","27431087","","1826","20190213233829"
"61","Abd_al-Rahman_al-Jadiri","28820168","","2760","20190219221402"
"62","Abd_al-Wahhab_Adarrak","28261330","","2437","20190203050346"
"63","Abd_as-Salam_al-Alami","27963978","","1104","20190203050226"
"64","Abdi_Kusow","5362157","","6133","20190226020421"
"65","Abdoulaye_Djimdé","57651365","","7335","20190219223341"
"66","Abdul_Hafeez_(chemist)","24509703","","5061","20190219221011"
"67","Abdul_Hameed_Nayyar","23056318","","10500","20190219220845"
"68","Abdul_Karim_(soil_scientist)","7592582","","2138","20190219215202"
"69","Abdul_Karim_Mustaghni","29801380","","1565","20190203051109"
"70","Abdul_Majid_(physicist)","23528922","","7635","20190222110010"
"71","Abdul_Qadeer_Khan","452160","","81398","20190226053014"
"72","Abdul_Quddoos_Khan","14318200","","1396","20190226020458"
"73","Abdul_Rahman_Al-Athel","5763756","","2783","20190226173302"
"74","Abdul_Rasul_(Iraqi_scientist)","21487962","","1826","20190219220710"
"75","Abdul_Rehman_Memon","20570776","","2392","20190219220607"
"76","Abdulaziz_Karimov","51500671","","11325","20190226234817"
"77","Abdullah_Atalar","14616048","","2843","20190203035957"
"78","Abdullah_Omar_Nasseef","11695881","","2563","20190224215459"
"79","Abdullah_Sadiq","6644132","","11391","20190222203730"
"80","Abdus_Salam","304427","","96806","20190226191201"
"81","Abdus_Salam_Award","27751051","","5408","20190226234519"
"82","Abdus_Salam_Centre_for_Physics","23541193","","13695","20190224224723"
"83","Abdus_Salam_Chair_in_Physics","31749119","","6256","20190219221629"
"84","Abdus_Salam_Medal","27751159","","2700","20190226234519"
"85","Abdus_Salam_School_of_Mathematical_Sciences","31742070","","13211","20190227005032"
"86","Abdus_Suttar_Khan","16227936","","8261","20190219220147"
"87","Abdusalam_Abubakar","9596339","","6909","20190226020514"
"88","Abe_Sapien","784204","","26202","20190220033844"
"89","Abe_Sklar","39990462","","1786","20190213234000"
"90","Abel's_identity","3261224","","10879","20190203015902"
"91","Abel's_inequality","12213076","","1781","20190119113223"
"92","Abel's_theorem","237305","","6467","20190203011210"
"93","Abel_(crater)","1016988","","6016","20190206131853"
"94","Abel_Hovelacque","51739964","","3457","20190222062554"
"95","Abel_Idowu_Olayinka","47934436","","13778","20190219222816"
"96","Abel_Prize","159285","","23165","20190224224557"
"97","Abel_Salazar_(scientist)","5747817","","2675","20190219214944"
"98","Abel_Wolman","11872672","","6859","20190219215641"
"99","Abel_equation","5834526","","5794","20190201095402"
"100","Abel_transform","1499595","","9161","20190203013141"
"101","Abelian_category","45063","","14875","20190226231248"
"102","Abelian_group","2974","","30118","20190219213528"
"103","Abelian_variety","247152","","18978","20190219213728"
"104","Abel–Jacobi_map","10756143","","7925","20190126195949"
"105","Abel–Ruffini_theorem","152518","","22366","20190227010445"
"106","Abhijit_Banerjee","18961973","","15902","20190224215555"
"107","Abhishek_Dhar","48458402","","1100","20190203061613"
"108","Abigail_Allwood","59269593","","6232","20190203063645"
"109","Abigail_Harrison","53666751","","33330","20190224224854"
"110","Abigail_Sellen","55473747","","3928","20190222045833"
"111","Abir_Al-Tabbaa","59197709","","9667","20190223145104"
"112","Abolfadl_Harawi","1766622","","741","20190219214221"
"113","Abolhasan_Farhoudi","5498290","","2262","20190224215406"
"114","Abolhassan_Astaneh-Asl","46442654","","3057","20190219214526"
"115","Abolhassan_Ziyā-Zarifi","28365434","","10632","20190219214126"
"116","Abraham_Alikhanov","18594585","","5918","20190222201022"
"117","Abraham_Cornelius","4892924","","9996","20190226052707"
"118","Abraham_Eberlen","58300245","","1311","20190225225542"
"119","Abraham_Joseph_Menz","57921059","","1241","20190224184835"
"120","Abraham_Langlet","706454","","2300","20190213233150"
"121","Abraham_Lempel","1924307","","4421","20190224215329"
"122","Abraham_Manie_Adelstein","2739095","","2883","20190223212452"
"123","Abraham_Neyman","42693900","","15386","20190224215812"
"124","Abraham_Niederländer","58261681","","1371","20190225225542"
"125","Abraham_Pais","316643","","21770","20190224123727"
"126","Abraham_Plessner","14698906","","3223","20190203040023"
"127","Abraham_Skorka","38808011","","9261","20190226234653"
"128","Abraham_Solomonick","27644511","","9596","20190226234518"
"129","Abraham_Trembley","890453","","6798","20190219213945"
"130","Abraham_Van_Helsing","626067","","39992","20190221151234"
"131","Abraham_bar_Hiyya","628931","","27228","20190225225539"
"132","Abraham–Lorentz_force","3209246","","16872","20190203015811"
"133","Abrahão_de_Moraes","3688869","","815","20181221104548"
"134","Abram_Ioffe","475185","","7182","20190225004249"
"135","Abram_Samoilovitch_Besicovitch","404566","","9386","20190224215305"
"136","Abram_Svyadoshch","38204193","","1275","20190219222147"
"137","Abu'l-Barakāt_al-Baghdādī","1253591","","20582","20190219214101"
"138","Abu'l-Fida","23135827","","7661","20190221011400"
"139","Abu_Ali_al-Hasan_al-Marrakushi","28650776","","2627","20190213233839"
"140","Abu_Hanifa_Dinawari","271979","","8424","20190219213734"
"141","Abu_Mansur_al-Baghdadi","10713305","","4160","20190222215201"
"142","Abu_Muqri_Mohammed_al-Battiwi","28635358","","975","20190203050519"
"143","Abu_Said_Gorgani","1782310","","1580","20190225004256"
"144","Abu_al-Jud","53328295","","1804","20190224105629"
"145","Abubakarr_Jalloh","14829761","","1652","20181229053940"
"146","Abul_Hussam","9298395","","6420","20190226020601"
"147","Abul_Qasim_ibn_Mohammed_al-Ghassani","19217647","","2385","20190203042248"
"148","Abū_Kāmil_Shujāʿ_ibn_Aslam","2479369","","17203","20190219213544"
"149","Academic_genealogy","4083089","","4879","20190215034716"
"150","Academic_genealogy_of_theoretical_physicists","3993703","","57453","20190224215354"
"151","Achim_Müller","3495824","","21012","20190219214637"
"152","Action_Philosophers!","7363564","","7818","20190224215426"
"153","Active_intellect","5683590","","10369","20190225005426"
"154","Ad_Lagendijk","27292710","","3274","20190213233827"
"155","Ada_Lovelace","974","","68000","20190226231245"
"156","Ada_Yonath","38502761","","18953","20190226235609"
"157","Adam_Adamandy_Kochański","6352976","","3374","20190226231544"
"158","Adam_Bielański","18327611","","2302","20190219220335"
"159","Adam_Cornford","22412420","","12971","20190215034840"
"160","Adam_Eddington","7788673","","5083","20190220001335"
"161","Adam_Ford","46948318","","1628","20190224224833"
"162","Adam_Haslmayr","37968968","","2402","20190203054538"
"163","Adam_Johann_von_Krusenstern","40387505","","11405","20190224124450"
"164","Adam_Karl_August_von_Eschenmayer","2151323","","4896","20190221011338"
"165","Adam_Lintz","49460644","","1895","20190215035133"
"166","Adam_Ross_(CSI:_NY)","10883167","","8876","20190220001336"
"167","Adam_S._T._Thomson","59036981","","2611","20190203063626"
"168","Adam_Sedgwick","7575129","","22400","20190224215429"
"169","Adam_Tanner_(Jesuit_theologian)","2484588","","2224","20190226231359"
"170","Adel_Sedra","3477074","","13964","20190219214635"
"171","Adelard_of_Bath","85563","","21591","20190224123712"
"172","Adelbert_Ames_Jr.","1914328","","12804","20190221010844"
"173","Adelbert_von_Chamisso","183592","","12515","20190224145113"
"174","Adelbert_von_Chamisso_Prize","32445158","","4578","20190224224746"
"175","Adele_Goldberg_(computer_scientist)","246513","","8452","20190219213728"
"176","Adele_Goldberg_(linguist)","246503","","4725","20190224224559"
"177","Adelina_Gutiérrez","50514843","","8536","20190221075157"
"178","Adelir_Antônio_de_Carli","17064839","","7181","20190218210746"
"179","Adeniyi_Sulaimon_Gbadegesin","57090085","","1779","20190215035232"
"180","Adeyinka_Afolayan","47773999","","1082","20190219222809"
"181","Adeyinka_Gladys_Falusi","42218581","","7506","20190219222506"
"182","Adhemar_(comic_book_character)","47599569","","11052","20190213185106"
"183","Adi_Shamir","57314","","10746","20190224224545"
"184","Adib_Jatene","3821302","","2303","20190224215351"
"185","Adil_Najam","17481182","","16096","20190226053017"
"186","Aditi_Lahiri","15726536","","2810","20190213233645"
"187","Aditi_Pant","44081269","","7910","20190222025257"
"188","Aditi_Shankardass","29488739","","7200","20190221173823"
"189","Adnan_Shihab-Eldin","7398645","","5856","20190219215148"
"190","Adolf_Aron_Baginsky","15002074","","4901","20190213233638"
"191","Adolf_Butenandt","728231","","11572","20190219213916"
"192","Adolf_Hoel","15843747","","6086","20190219220114"
"193","Adolf_Loewy","17795230","","3659","20190213233703"
"194","Adolf_Martin_Pleischl","22948278","","3042","20190213233749"
"195","Adolf_Patera","25738596","","2710","20190213233815"
"196","Adolf_Paul_Schulze","57542143","","3327","20190203063355"
"197","Adolf_Schallamach","40286192","","4014","20190221205253"
"198","Adolf_Streckeisen","16882437","","612","20190213233655"
"199","Adolf_Windaus","749670","","4652","20190219213920"
"200","Adolf_von_Baeyer","863418","","13839","20190223231221"
"201","Adolf_von_Liebenberg","5608307","","1017","20190213233431"
"202","Adolfo_Figueroa-Viñas","21327327","","12511","20190222061819"
"203","Adolph_Kussmaul","1504740","","3797","20190219213526"
"204","Adolph_Lowe","29004123","","6579","20190213233842"
"205","Adolph_P._Yushkevich","25750508","","5423","20190219214055"
"206","Adolphe_Noël_des_Vergers","51548822","","4600","20190224204536"
"207","Adolphe_Quetelet","184215","","13918","20190224123720"
"208","Adolphe_Van_Tiggelen","8365611","","801","20190213233516"
"209","Adolphe_d'Archiac","497822","","4162","20190221011335"
"210","Adriaan_Blaauw","840430","","5498","20190219213935"
"211","Adriaan_van_Roomen","628991","","2512","20190225004250"
"212","Adrian_Helmsley","55773178","","325","20190225162816"
"213","Adrian_Mihai_Ionescu","33854313","","12530","20190219221815"
"214","Adrian_Paterson","50232086","","4734","20190203061946"
"215","Adriana_Neumann_de_Oliveira","59712907","","2080","20190219223458"
"216","Adriana_Ocampo","39513314","","6765","20190219222247"
"217","Adriano_de_Paiva","8087137","","1102","20190213233512"
"218","Adrianus_de_Hoop","39604447","","5375","20190219222251"
"219","Adrien-Henri_de_Jussieu","842544","","2458","20190221011336"
"220","Adrien_Loir","9622924","","3386","20190219215418"
